评论内容,观点词
"妹妹推荐我看ONE,然后看了8月17日大冰哥在ONE上面发表的文章,就开始期待这本书。盼星星盼月亮,终于盼到手。听说很多人看的哭了,可是好奇怪我看下来一直是笑着的,大冰哥的语言风格实在是幽默搞笑,很悲伤艰难的事被他写出来就那么平淡直白。我看那些事也不觉得会让我难过到哭,可能我觉得那是人生的“劫数”或者是“修炼”,经历时也许会流泪,但回想起来应该只有心头一丝丝的五味杂陈吧。之前不知道大冰哥是山东台的首席主持人,不知道他那么有名,后来去百度了一下,看了《阳光快车道》至上励合那一期,年代久远视频都不那么清晰了,还能看到这个老男孩直白的说话方式,想什么说什么,但也无奈的带着一点点的小小的官方的形式,看得我一直在笑,他甚至差点忘了那组合叫什么名字,哈哈。我爱这个淘气的文艺老男孩,崇拜的那种爱。羡慕二十郎当岁的他能追逐自己的梦,而我就是那种典型的拖泥带水永远有理由迈不开第一步的人。好山好水,我却唯独钟情拉萨的布达拉宫,莫名的就坚持认为,只有到了那圣地才能找到真正的自己。谢谢这本书能让我心中有了一种向往,我想等他出第二本书的时候,我应该会去我的圣地了,带着最合适的状态。书里我最喜欢大军,温和的老男人,他那天天有花裙子穿的妻子真的好幸福,我佩服她对爱情的勇气,甜菜和小南京也是我敬佩的奇女子,她们是幸运的,这一生有那么一个人能让自己坚定的爱着,真好。恩,期待这个老男孩来上海签售、演讲,期待他出第二本书,期待他换发型,哈哈哈。",爱上这个幽默的老男孩
好用。如题。质量不错。,好用
"书的内容挺丰富的,但就是还没有引起孩子的看的兴趣。",内容丰富
"此次包装还是简单,但内包装有透明膜,保证了书籍的整洁。希望亚马逊在书籍运输中的污损问题一定要重视。",书籍整洁。
"喜欢黄色。 充电蛮快的,容量挺大。 充一次够手机用好几次。 出门方便。",还不错
"很满意的,对我的英语学习很有帮助的,是正版的",喜欢亚马逊
"包装好,字体太小了,值得拉",购买了这个
"再版那么多次,经得起历史时间的考验,珍藏","很有用,内容详实的好书"
通俗易懂、图文并茂、装帧,好书
"孩子2岁的时候买的,她挺喜欢听这个故事",孩子很喜欢
"比联想自身厂家带的好多了,但是还是用不了一天,正常用的话",还可以
"儿时对化学元素较感兴趣,照片直观!!",还行!
"帮同事的女儿买的,同事说可以,价格便宜。",好
"电视很好,安装服务也很好,安装师傅推荐用便宜的电视挂架,没有其他额外的推荐搭售,赞一个。 3d功能到现在没有用明白。",第一次网购大件电器
"这本是习题答案书,是原教材的必买配套书,答案详细,例题较多。","这本是习题答案书,是原教材的必买配套书,答案详细。"
"雅思听力能力提升必备,和剑桥书相对而言,更能针对性提高能力。",必备
书很不错哦!!  很实用!  也很新!!  下次还来卓越买!,不错!
"货品很不错,现在能多给孩子做好多好吃的了",满意
"基本达到我的要求,还行。",不错
"声音有点闷闷的,不知道煲完会不会好一点","声音有点闷闷的,不知道煲完会不会好一点"
"小巧,精致,携带很方便,如果再配根吊绳就更好了。",还不错
"先在图书馆看了看,觉得不错,值得购买",不错
"这书内容丰富,携带方便.随时可以看.再说兴趣很重要嘛,看得还是挺有味道的.",非常喜欢
"从小时候就开始看凡尔纳的小说,非常喜欢他的风格,还有书中趣味丛生的插画。这本书保持了凡尔纳一贯的风格,而且比之前的中文版收录的插图更多,但印刷不够清楚,封面有很浓的味道。希望安徽教育出版社能够出版更多高质量的凡尔纳小说,希望能选择最好的翻译,尽可能收录更多的插图,如果能做成精装本就更好了,相信还是很有市场的。中青社那个版本虽然非常经典,但毕竟过了二三十年,市面上已难觅踪影,而且收录的作品也不全。","好书,值得买。"
"相当不好用,拍出的照片色差太大。奉劝大家不要购买。 想退货商家说不能退,除非出现质量问题,拍绿草排出的照片是黄色的,还不算是质量问题?必须有厂家的鉴定报告,发到北京鉴定,说没问题(我也傻,谁家会自己坚定说自己生产的产品有质量问题)问他们为什么拍绿草排出的照片是黄色的,结果他们给出的答复是,厂家就这样设置的,就应该这样。这不是欺骗中国的消费者吗。只能认倒霉了,全当钱掉粪坑了。","相当不好用,拍出的照片色差太大。奉劝大家不要购买。"
"书中有多处较为突出的错误,句式混乱,很不像是正规译本,而且内容几乎是抄袭《卡尔维特的教育》,没什么自己的东西,感觉很差,不知道为什么还有那么多人推荐,如果不是伪译本,我建议大家都不要买了,直接看《卡尔维特的教育》就行了。","多处错误,怀疑是伪译本!"
书的质量不怎么好  做工公有待提高,自加西亚的信
"同学推荐的,挺好的。","同学推荐,挺好的"
"很好的一本书,解说很详细,适合刚学或想提升功底的朋友,我最近也在练,小有收成!",不错
"物美价廉,快递很好,支持","可以,物美价廉"
"开始的内容是不错的,后面就欠些。",值得看看
价格还可以 6990 等了半年了 再等时间就比钱浪费的多了 东西很好 就是包装不负责 别说气泡膜了 连个纸屑都没,包装很恐怖 一点避震措施都没 相机不错
"喜欢这系列的书,穿越必备哦~~~",不错
挺值得的  收集内容比较多,O(∩_∩)O哈哈~
"书的印装还可以,但文字内容真一般,入门级的介绍一下,看图片还可以,欣赏一下图片。",内容一般
"部门因为工作需要购买的此书,拿到手之后觉得质量还是挺说的过去的,主要是上午订书下午就送到了,亚马逊真是效率的很啊!非常赞~",部门购书
不好意思  忘记评论了  大爱啊  没有一点不满意的,喜欢chiya
"字比较多,给宝宝讲和读他都没耐心听下去,估计还是要大点的孩子读。",两岁半男宝不喜欢
看完了野蛮生长  再看理想丰满  就像刚讲完宋江在梁山上的故事 再写了续集《水浒后传》  不过这后传写的别有一番滋味  感觉自己能理解一小部分  剩下的还要读几遍。,有思想的人有见地的书
good !!,一本好书
"是第二次从卓越上订书了,两次的质量都很好,速度也很快··不过这次出了一点小意外,不过·卓越滴态度很好,圆满解决滴,哈~顶赞ing",赞ing
"操作简单使用方便,中文字幕很好用,之前同事在市场上也买了这款录音笔300元,我省了100元还赠送了一个万能充电器,推荐!",很喜欢
"感觉套子并没有想象中的厚实,硬盘放里面还是有点危险的",有点薄啦
"送给朋友的生日礼物,朋友很喜欢~",很好看的书
"还行吧.MINI袖珍,声音还不错,好了也不能放开,住楼房声音容易四散。",声音还不错
"我以后买三星别的东西还来你们家,东西是行货,快递顺风很给力2天到手中,下单的时候自己电话留错了,处理和及时,很满意,","很好,特别喜欢"
"重新看了一遍<左耳>和<終結>.淚紛飛.. 在吧啦死的那一刻,張漾救許弋的那一刻,張漾死了的那一刻, 心裡莫名的沉重. 誰那麼執著的捍衛自己的愛情, 可是誰都沒有好結果... 除了小耳朵和張漾. 心裡說不出的喜歡張漾,吧啦. 吧啦,那麼激情地活著,因為她知道,孤獨的孩子不希望別人憐憫. 張漾,曾經年少幼稚,遇上小耳朵仿佛是他的宿命.. 還是喜歡結果的.雖然對於許弋有點遺憾.",再一次
"这本书有很多小孩之间的相互关怀,相互帮助,内容非常积极向上,还能学习知识,可以让孩子放心地看。",好书
"看完《不做白领做首领》,有股冲动,想创一番事业。 里面30位主人公的故事,让我感动! 很高兴可以看到这样真实的故事,在大学生活里,我找到了奋斗的方向。",收益匪浅
"龙应台少有的温情的一面,作为母亲的一面,里面记录的很多看似平常事的细节,会让你发现孩子思考世界的角度和我们是不一样的,也许我们小时也是这样想的,但我们现在已经忘记了,已经没有那时的记忆了。 印象最深的是孩子对母亲说“有时我也会考100分,但只是有时。” 呵呵,是啊,我们自己又何尝不是有时能把事情做好。  强烈推荐!!",让你真的了解孩子的世界是不一样的
"给孩子买的,他今天滑了一会感觉还不错。",还不错
"书的内容挺丰富的,但就是还没有引起孩子的看的兴趣。",内容丰富
"全书将柔道与桑搏混为一谈.除了普京这个卖点,实在找不到值得购买的其他理由.",贵不说内容还很简单
"不是很实用 本来是打算做教材用的 结果发现详解很少,英汉对照翻译都是长篇长篇的",不实用
"一分钱一分货,在同等的价格下,此书算是好的了, 谢谢你们。   问下 那些说书纸张不好朋友, 如你付出更高的金钱, 保证他们会给你更好的书","一分钱一分货,在同等的价格下,此书算是好的了"
"帮同事买的,很不错的,。",很好。
"手机挺好的,和原来用的差不多,白色的比较好看,但是里面的没用的软件太多了",、、、
椅背上有刮花的地方。不得以只能收下啦。,"质量还行,只是送到时,椅背上有刮花的地方。"
"对于新手来说这是一般很实用的字典,推荐!",很实用
一本回味无穷的80后书籍,坏了 老了 开始怀旧了
今天发现触摸屏幕不灵  滑屏是碰到什么软件就打开了 滑屏很吃力  重新开关机  也没有  真垃圾  希望商家早点解决,触屏不灵 售后服务极差 坑爹 坑爹 还是坑爹
"简介里根本不注明,这个只是对《失乐园》的概述,并没有正文内容```我的心情非常不爽啊```",只是个概述而已
"据说挺好,买了还在用,没看出效果",还在用
可惜我不是耶稣信徒。,一本介绍耶稣足迹的书
"给麻麻公司订的,一样的东西比超市便宜一半,很给力,推荐",好事达书柜
系统归纳了六级题目的类型 好,好书
用起来确实不错~赞一个,很好~
"屏幕大,速度给力,电池也还不错~~~~","大气,速度给力!"
"第二次在卓越帮妈妈买了,她很喜欢",帮妈妈买的
"我一下子买了两本才发现我好像买错了,这是教材,没原课文内容怎么学习啊,怎么办呢?",买错用书
"到货速度很快,下单后第二天就到货; 包装依然是亚马逊一贯的风格,气垫保护的很好。初步的使用体验不错,作为视频观看和阅读器沟通了;游戏性能一般;  没有安装成功 google play,不知道什么原因。  另外一个就是返回键比较容易误碰。","到货速度很快,初步的使用体验也很好"
"都说不如第二册,我觉得是因为那些企业都太老了,我们都忘记了。我觉得非常精彩",喜欢
"很好的一本书,无论是初学者,还是学了若干年的人,方法很重要,刚开始我抱着试试看的态度买这本书,但是我用了两天的时间看完了他,把其中的方法提炼了出来并开始实践,感觉很有效果,他改变的是我的思想和习惯。",一定要坚持看完!
"没有什么收藏价值,就觉得日本人把什么都能搞得特专业,连大便都研究的透彻,太佩服了。",看后就想送人的书
"每一本书就像上帝的一双眼,她帮你从不同的角度来看这个世界。这本书不错,值得大家一看。",这本书不错!
"包装很好,双色印刷,我很喜欢,光盘中的PPT教材我也很喜欢,就是价格太高了。",经典教材。
